no_control,alumno,semestre,carga,carga_inscrito,promedio,carrera,,,
4044,NOMBRE4045,5,106,27,92,ELECTRICA,,,
4045,NOMBRE4046,1,,24,0,ELECTRICA,,,
4046,NOMBRE4047,1,,24,0,ELECTRICA,,,
4047,NOMBRE4048,3,51,28,91,ELECTRICA,,,
4048,NOMBRE4049,9,132,18,86.36,ELECTRICA,,,
4049,NOMBRE4050,1,,24,0,ELECTRICA,,,
4050,NOMBRE4051,5,106,29,89.08,ELECTRICA,,,
4051,NOMBRE4052,1,,24,0,ELECTRICA,,,
4052,NOMBRE4053,1,,24,0,ELECTRICA,,,
4053,NOMBRE4054,7,150,35,85.61,ELECTRICA,,,
4054,NOMBRE4055,13,196,21,83.72,ELECTRICA,,,
4055,NOMBRE4056,9,120,20,84.27,ELECTRICA,,,
4056,NOMBRE4057,5,69,18,84.31,ELECTRICA,,,
4057,NOMBRE4058,7,131,26,89.73,ELECTRICA,,,
4058,NOMBRE4059,5,106,27,90.5,ELECTRICA,,,
4059,NOMBRE4060,1,,24,0,ELECTRICA,,,
4060,NOMBRE4061,1,,24,0,ELECTRICA,,,
4061,NOMBRE4062,9,197,19,82.74,ELECTRICA,,,
4062,NOMBRE4063,1,,24,0,ELECTRICA,,,
4063,NOMBRE4064,5,82,26,85.83,ELECTRICA,,,
4064,NOMBRE4065,3,51,28,92.67,ELECTRICA,,,
4065,NOMBRE4066,13,240,5,84.1,ELECTRICA,,,
4066,NOMBRE4067,1,,24,0,ELECTRICA,,,
4067,NOMBRE4068,9,212,27,84.07,ELECTRICA,,,
4068,NOMBRE4069,1,,24,0,ELECTRICA,,,
4069,NOMBRE4070,2,29,36,87.71,ELECTRICA,,,
4070,NOMBRE4071,1,,24,0,ELECTRICA,,,
4071,NOMBRE4072,3,51,28,90.17,ELECTRICA,,,
4072,NOMBRE4073,9,149,26,85.91,ELECTRICA,,,
4073,NOMBRE4074,7,154,35,94.34,ELECTRICA,,,
4074,NOMBRE4075,7,95,19,83.06,ELECTRICA,,,
4075,NOMBRE4076,1,,24,0,ELECTRICA,,,
4076,NOMBRE4077,1,,24,0,ELECTRICA,,,
4077,NOMBRE4078,9,203,22,94,ELECTRICA,,,
4078,NOMBRE4079,4,49,16,81.9,ELECTRICA,,,
4079,NOMBRE4080,11,250,10,85.21,ELECTRICA,,,
4080,NOMBRE4081,5,106,27,86.78,ELECTRICA,,,
4081,NOMBRE4082,9,220,24,87.75,ELECTRICA,,,
4082,NOMBRE4083,1,,24,0,ELECTRICA,,,
4083,NOMBRE4084,7,102,23,81.75,ELECTRICA,,,
4084,NOMBRE4085,7,69,18,80.22,ELECTRICA,,,
4085,NOMBRE4086,7,160,36,91.3,ELECTRICA,,,
4086,NOMBRE4087,2,20,27,86.6,ELECTRICA,,,
4087,NOMBRE4088,3,51,28,89,ELECTRICA,,,
4088,NOMBRE4089,1,,24,0,ELECTRICA,,,
4089,NOMBRE4090,7,168,32,89.15,ELECTRICA,,,
4090,NOMBRE4091,13,219,25,82.17,ELECTRICA,,,
4091,NOMBRE4092,9,220,14,83.5,ELECTRICA,,,
4092,NOMBRE4093,1,,24,0,ELECTRICA,,,
4093,NOMBRE4094,3,51,28,89,ELECTRICA,,,
4094,NOMBRE4095,9,229,5,84.81,ELECTRICA,,,
4095,NOMBRE4096,3,51,28,89,ELECTRICA,,,
4096,NOMBRE4097,9,135,27,84.67,ELECTRICA,,,
4097,NOMBRE4098,5,106,27,88.79,ELECTRICA,,,
4098,NOMBRE4099,2,24,27,89.67,ELECTRICA,,,
4099,NOMBRE4100,9,126,35,81.42,ELECTRICA,,,
4100,NOMBRE4101,7,26,10,89.86,ELECTRICA,,,
4101,NOMBRE4102,2,24,27,85.5,ELECTRICA,,,
4102,NOMBRE4103,9,154,20,81.53,ELECTRICA,,,
4103,NOMBRE4104,15,250,10,86.17,ELECTRICA,,,
4104,NOMBRE4105,3,51,28,88.17,ELECTRICA,,,
4105,NOMBRE4106,9,151,25,87.45,ELECTRICA,,,
4106,NOMBRE4107,7,144,20,83.54,ELECTRICA,,,
4107,NOMBRE4108,1,,24,0,ELECTRICA,,,
4108,NOMBRE4109,7,115,20,82.07,ELECTRICA,,,
4109,NOMBRE4110,1,,24,0,ELECTRICA,,,
4110,NOMBRE4111,7,112,23,86.31,ELECTRICA,,,
4111,NOMBRE4112,3,51,28,93,ELECTRICA,,,
4112,NOMBRE4113,1,,24,0,ELECTRICA,,,
4113,NOMBRE4114,1,,24,0,ELECTRICA,,,
4114,NOMBRE4115,1,,24,0,ELECTRICA,,,
4115,NOMBRE4116,1,,30,0,ELECTRICA,,,
4116,NOMBRE4117,5,95,33,83.88,ELECTRICA,,,
4117,NOMBRE4118,1,,24,0,ELECTRICA,,,
4118,NOMBRE4119,1,,24,0,ELECTRICA,,,
4119,NOMBRE4120,9,121,34,83.86,ELECTRICA,,,
4120,NOMBRE4121,1,,24,0,ELECTRICA,,,
4121,NOMBRE4122,1,,24,0,ELECTRICA,,,
4122,NOMBRE4123,11,235,10,84.32,ELECTRICA,,,
4123,NOMBRE4124,13,240,5,83.63,ELECTRICA,,,
4124,NOMBRE4125,9,131,18,83.36,ELECTRICA,,,
4125,NOMBRE4126,3,57,22,100,ELECTRICA,,,
4126,NOMBRE4127,7,89,19,84.43,ELECTRICA,,,
4127,NOMBRE4128,3,51,28,94.17,ELECTRICA,,,
4128,NOMBRE4129,1,,24,0,ELECTRICA,,,
4129,NOMBRE4130,3,51,28,87.67,ELECTRICA,,,
4130,NOMBRE4131,1,,24,0,ELECTRICA,,,
4131,NOMBRE4132,5,95,28,85,ELECTRICA,,,
4132,NOMBRE4133,1,,24,0,ELECTRICA,,,
4133,NOMBRE4134,3,51,28,94.17,ELECTRICA,,,
4134,NOMBRE4135,9,118,19,79.13,ELECTRICA,,,
4135,NOMBRE4136,5,95,33,85.47,ELECTRICA,,,
4136,NOMBRE4137,7,160,36,89.2,ELECTRICA,,,
4137,NOMBRE4138,7,154,35,88.9,ELECTRICA,,,
4138,NOMBRE4139,3,51,28,93.83,ELECTRICA,,,
4139,NOMBRE4140,2,24,27,88,ELECTRICA,,,
4140,NOMBRE4141,5,95,32,84.41,ELECTRICA,,,
4141,NOMBRE4142,7,134,32,83.94,ELECTRICA,,,
4142,NOMBRE4143,7,160,32,89.27,ELECTRICA,,,
4143,NOMBRE4144,3,51,28,90.83,ELECTRICA,,,
4144,NOMBRE4145,11,230,5,82.8,ELECTRICA,,,
4145,NOMBRE4146,1,,24,0,ELECTRICA,,,
4146,NOMBRE4147,3,43,20,81.8,ELECTRICA,,,
4147,NOMBRE4148,4,,34,0,ELECTRICA,,,
4148,NOMBRE4149,1,,24,0,ELECTRICA,,,
4149,NOMBRE4150,14,214,20,82.66,ELECTRICA,,,
4150,NOMBRE4151,11,210,34,80.36,ELECTRICA,,,
4151,NOMBRE4152,7,185,27,87.64,ELECTRICA,,,
4152,NOMBRE4153,2,11,22,78,ELECTRICA,,,
4153,NOMBRE4154,1,,24,0,ELECTRICA,,,
4154,NOMBRE4155,1,,24,0,ELECTRICA,,,
4155,NOMBRE4156,9,96,29,82.36,ELECTRICA,,,
4156,NOMBRE4157,11,226,9,81.57,ELECTRICA,,,
4157,NOMBRE4158,7,135,30,87.44,ELECTRICA,,,
4158,NOMBRE4159,1,,24,0,ELECTRICA,,,
4159,NOMBRE4160,5,87,28,80,ELECTRICA,,,
4160,NOMBRE4161,7,95,14,84.94,ELECTRICA,,,
4161,NOMBRE4162,1,,24,0,ELECTRICA,,,
4162,NOMBRE4163,11,229,5,81.51,ELECTRICA,,,
4163,NOMBRE4164,1,,24,0,ELECTRICA,,,
4164,NOMBRE4165,9,131,18,85.38,ELECTRICA,,,
4165,NOMBRE4166,7,154,35,92.48,ELECTRICA,,,
4166,NOMBRE4167,9,204,27,85.11,ELECTRICA,,,
4167,NOMBRE4168,5,100,28,87.24,ELECTRICA,,,
4168,NOMBRE4169,13,235,10,80.45,ELECTRICA,,,
4169,NOMBRE4170,9,217,14,86.92,ELECTRICA,,,
4170,NOMBRE4171,9,136,26,85.07,ELECTRICA,,,
4171,NOMBRE4172,1,,24,0,ELECTRICA,,,
4172,NOMBRE4173,1,,24,0,ELECTRICA,,,
4173,NOMBRE4174,2,15,27,91,ELECTRICA,,,
4174,NOMBRE4175,5,95,27,85.36,ELECTRICA,,,
4175,NOMBRE4176,1,,24,0,ELECTRICA,,,
4176,NOMBRE4177,5,91,33,82.35,ELECTRICA,,,
4177,NOMBRE4178,3,51,28,91,ELECTRICA,,,
4178,NOMBRE4179,9,85,11,79.75,ELECTRICA,,,
4179,NOMBRE4180,5,62,31,84.17,ELECTRICA,,,
4180,NOMBRE4181,1,,24,0,ELECTRICA,,,
4181,NOMBRE4182,1,,24,0,ELECTRICA,,,
4182,NOMBRE4183,5,100,28,90.59,ELECTRICA,,,
4183,NOMBRE4184,5,101,32,86.88,ELECTRICA,,,
4184,NOMBRE4185,9,86,30,85.45,ELECTRICA,,,
4185,NOMBRE4186,9,187,18,87.22,ELECTRICA,,,
4186,NOMBRE4187,9,179,27,82.64,ELECTRICA,,,
4187,NOMBRE4188,13,235,10,82.23,ELECTRICA,,,
4188,NOMBRE4189,9,135,34,82.72,ELECTRICA,,,
4189,NOMBRE4190,13,235,10,83.27,ELECTRICA,,,
4190,NOMBRE4191,1,,24,0,ELECTRICA,,,
4191,NOMBRE4192,9,212,27,85.17,ELECTRICA,,,
4192,NOMBRE4193,3,51,28,83,ELECTRICA,,,
4193,NOMBRE4194,5,105,27,80.54,ELECTRICA,,,
4194,NOMBRE4195,7,127,30,85.64,ELECTRICA,,,
4195,NOMBRE4196,11,235,10,85.09,ELECTRICA,,,
4196,NOMBRE4197,5,95,27,86.47,ELECTRICA,,,
4197,NOMBRE4198,1,,24,0,ELECTRICA,,,
4198,NOMBRE4199,1,,24,0,ELECTRICA,,,
4199,NOMBRE4200,5,100,28,86.53,ELECTRICA,,,
4200,NOMBRE4201,3,46,27,84.67,ELECTRICA,,,
4201,NOMBRE4202,2,20,27,86.6,ELECTRICA,,,
4202,NOMBRE4203,1,,24,0,ELECTRICA,,,
4203,NOMBRE4204,1,,24,0,ELECTRICA,,,
4204,NOMBRE4205,1,,24,0,ELECTRICA,,,
4205,NOMBRE4206,7,159,31,84.16,ELECTRICA,,,
4206,NOMBRE4207,9,150,26,84.45,ELECTRICA,,,
4207,NOMBRE4208,9,103,31,79.75,ELECTRICA,,,
4208,NOMBRE4209,1,,24,0,ELECTRICA,,,
4209,NOMBRE4210,9,169,30,87.41,ELECTRICA,,,
4210,NOMBRE4211,10,212,18,86.36,ELECTRICA,,,
4211,NOMBRE4212,1,,24,0,ELECTRICA,,,
4212,NOMBRE4213,2,19,27,88.4,ELECTRICA,,,
4213,NOMBRE4214,3,46,27,85,ELECTRICA,,,
4214,NOMBRE4215,7,154,35,89,ELECTRICA,,,
4215,NOMBRE4216,7,160,32,92.45,ELECTRICA,,,
4216,NOMBRE4217,5,106,27,87.83,ELECTRICA,,,
4217,NOMBRE4218,5,111,22,91.8,ELECTRICA,,,
4218,NOMBRE4219,9,81,35,86.21,ELECTRICA,,,
4219,NOMBRE4220,7,154,35,90.07,ELECTRICA,,,
4220,NOMBRE4221,1,,24,0,ELECTRICA,,,
4221,NOMBRE4222,5,78,23,80.69,ELECTRICA,,,
4222,NOMBRE4223,1,,24,0,ELECTRICA,,,
4223,NOMBRE4224,1,,24,0,ELECTRICA,,,
4224,NOMBRE4225,1,,24,0,ELECTRICA,,,
4225,NOMBRE4226,7,92,19,81.79,ELECTRICA,,,
4226,NOMBRE4227,1,,24,0,ELECTRICA,,,
4227,NOMBRE4228,1,,24,0,ELECTRICA,,,
4228,NOMBRE4229,11,216,20,79.81,ELECTRICA,,,
4229,NOMBRE4230,2,20,27,90.6,ELECTRICA,,,
4230,NOMBRE4231,1,,24,0,ELECTRICA,,,
4231,NOMBRE4232,13,231,14,83.02,ELECTRICA,,,
4232,NOMBRE4233,9,217,27,89.29,ELECTRICA,,,
4233,NOMBRE4234,3,51,28,85.17,ELECTRICA,,,
4234,NOMBRE4235,1,,24,0,ELECTRICA,,,
4235,NOMBRE4236,7,121,30,79.83,ELECTRICA,,,
4236,NOMBRE4237,3,51,28,87,ELECTRICA,,,
4237,NOMBRE4238,3,57,22,94.08,ELECTRICA,,,
4238,NOMBRE4239,9,229,5,90.06,ELECTRICA,,,
4239,NOMBRE4240,1,,24,0,ELECTRICA,,,
4240,NOMBRE4241,3,51,28,91.5,ELECTRICA,,,
4241,NOMBRE4242,1,,24,0,ELECTRICA,,,
4242,NOMBRE4243,7,104,21,83.36,ELECTRICA,,,
4243,NOMBRE4244,1,,24,0,ELECTRICA,,,
4244,NOMBRE4245,7,164,32,94.67,ELECTRICA,,,
4245,NOMBRE4246,7,164,32,91.83,ELECTRICA,,,
4246,NOMBRE4247,3,51,28,86.17,ELECTRICA,,,
4247,NOMBRE4248,1,,24,0,ELECTRICA,,,
4248,NOMBRE4249,3,51,28,90.33,ELECTRICA,,,
4249,NOMBRE4250,7,160,32,89.13,ELECTRICA,,,
4250,NOMBRE4251,9,119,20,84.21,ELECTRICA,,,
4251,NOMBRE4252,13,230,15,81.28,ELECTRICA,,,
4252,NOMBRE4253,11,235,10,85.02,ELECTRICA,,,
4253,NOMBRE4254,3,46,24,79,ELECTRICA,,,
4254,NOMBRE4255,1,,24,0,ELECTRICA,,,
4255,NOMBRE4256,3,51,28,81.67,ELECTRICA,,,
4256,NOMBRE,7,130,17,87.32,ELECTRICA,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
